"apt_juso","coord_x","coord_y"
"서울특별시 중구 오장동 139-7 오장동오팰리오",127.002011795126,37.5648145517864
"서울특별시 중구 흥인동 3-4 우일타운",127.016528447054,37.5674299944468
"서울특별시 중구 회현동1가 100-12 이지-빌",126.980331228342,37.5568692021103
"서울특별시 중구 황학동 846 신당블루카운티",127.022582046093,37.5663226588964
"서울특별시 중구 을지로5가 39-1 삼성파크빌",127.002768887715,37.5673649858829
"서울특별시 중구 신당동 372-13 약수",127.011049864346,37.5536239385941
"서울특별시 중구 신당동 432-1061 토토타워",127.006162568342,37.5505885617354
"서울특별시 중구 신당동 432-1666 남산FORESTHOUSE",127.004825079267,37.5491436025733
"서울특별시 중구 신당동 845 한진해모로",127.025987049202,37.5634687739131
"서울특별시 중구 신당동 432-1132 태원팰리스5차",127.007341211727,37.5530936297203
"서울특별시 중구 흥인동 119 동대문와이즈캐슬",127.015468306711,37.5658415020925
"서울특별시 중구 신당동 432-921 푸른마을",127.005808607853,37.5508823051453
"서울특별시 중구 신당동 432-1972 신신",127.00545349403,37.5509168303169
"서울특별시 중구 신당동 857 약수역더시티",127.010711986181,37.5531773450446
"서울특별시 중구 흥인동 8 동대문솔하임",127.016349553927,37.5677164459151
"서울특별시 중구 만리동2가 288 서울역한라비발디센트럴",126.965563662247,37.5550897722338
"서울특별시 중구 회현동1가 147-20 별장",126.981848061188,37.5557105820571
"서울특별시 중구 흥인동 142-1 위더스하임",127.014221235624,37.566084567426
"서울특별시 중구 남대문로5가 827 남산트라팰리스",126.975790250995,37.5538334378845
"서울특별시 중구 장충동1가 105-1 장충동라임카운티",127.006774511059,37.5599374602551
"서울특별시 중구 신당동 432-1982 다다아파트",127.005543672688,37.5507136509889
"서울특별시 중구 신당동 432-904 ",127.005965157696,37.5513921722803
"서울특별시 중구 필동3가 62-16 미주",126.995879427566,37.5562393494315
"서울특별시 중구 신당동 432-922 푸른마을",127.00589076894,37.5509107726225
"서울특별시 중구 신당동 113-5 하이1",127.017645673594,37.5641837241812
"서울특별시 중구 신당동 432-1653 노블레스2",127.005255709035,37.5497332877511
"서울특별시 중구 신당동 846 신당동파라다이스",127.017282610735,37.5623955702618
"서울특별시 중구 신당동 432-2837 프라임2",127.006328885959,37.548819442339
"서울특별시 중구 정동 18-1 정동",126.970342303639,37.5672856996586
"서울특별시 중구 황학동 1200 위너빌",127.021404705916,37.5677197822002
"서울특별시 중구 신당동 432-479 초원",127.006355143793,37.5515315363643
"서울특별시 중구 신당동 140-23 신당역솔하임",127.020226358008,37.5638781428151
"서울특별시 중구 신당동 404-2 란스미어",127.011578357047,37.5601165654821
"서울특별시 중구 신당동 432-502 인성아트빌",127.005870976655,37.5510618710276
"서울특별시 중구 예장동 9 예장동삼익",126.991586198828,37.55983806495
"서울특별시 중구 만리동2가 273 서울역센트럴자이",126.96402989384,37.5537819672024
"서울특별시 용산구 한강로3가 16-20 원효전자상가",126.960835806269,37.5333606102842
"서울특별시 용산구 한남동 29-4 한성1",127.009080645372,37.5345489584788
"서울특별시 용산구 후암동 423-1 후암미주",126.975790102772,37.5518426827209
"서울특별시 용산구 이촌동 399-1 우성",126.968363418261,37.5216751604394
"서울특별시 용산구 용산동5가 24-1 용산파크타워",126.97281622163,37.5233187069721
"서울특별시 용산구 이태원동 729 남산대림",126.9888250863,37.5407094589822
"서울특별시 용산구 원효로4가 178 강변삼성스위트",126.948582252393,37.5340823879501
"서울특별시 용산구 이촌동 404 한가람",126.970286646638,37.5215850190543
"서울특별시 용산구 서빙고동 241-21 신동아",126.987501145071,37.5180979697285
"서울특별시 용산구 이촌동 300-301 삼익",126.97603798549,37.5184622780656
"서울특별시 용산구 이촌동 395 대림",126.954928463642,37.5252183146702
"서울특별시 용산구 이촌동 415 한강",126.969475303103,37.5222169556785
"서울특별시 용산구 이촌동 412 이촌코오롱",126.977937544932,37.52007490322
"서울특별시 용산구 산천동 193 리버힐삼성",126.95059340676,37.535002087034
"서울특별시 용산구 한강로1가 64 대우월드마크용산",126.972984984131,37.5371756077648
"서울특별시 용산구 이태원동 669 용산동아파트",126.988076716751,37.5399255158305
"서울특별시 용산구 원효로4가 118-16 산호",126.950380742981,37.5327156180897
"서울특별시 용산구 이촌동 300-23 한강맨숀",126.975026539164,37.5193300950348
"서울특별시 용산구 문배동 24-6 CJ나인파크",126.969170724866,37.5360844630167
"서울특별시 용산구 용산동5가 24 용산파크타워",126.970684689419,37.5242745211479
"서울특별시 용산구 이촌동 193-3 강변",126.959241249084,37.5235193299625
"서울특별시 용산구 이촌동 411 동아그린",126.958032726655,37.5239356203446
"서울특별시 용산구 이촌동 426 이촌동삼성리버스위트",126.97681095732,37.5172359865554
"서울특별시 용산구 이촌동 302-54 미주A",126.96909107853,37.5204389068674
"서울특별시 용산구 한남동 828 한남아이파크애비뉴",127.007256590971,37.5323912773405
"서울특별시 용산구 한강로3가 63-387 시티파크",126.969883111317,37.5261585854458
"서울특별시 용산구 이촌동 400 현대한강",126.957576158124,37.5233240369668
"서울특별시 용산구 이촌동 430 LG한강자이",126.971107300788,37.5199475597514
"서울특별시 용산구 용산동2가 47-5 용암한신",126.987878525843,37.5424265810629
"서울특별시 용산구 이촌동 402 강촌",126.977468237095,37.5192338183281
"서울특별시 용산구 이촌동 301-10 로얄맨숀",126.974536261291,37.5200578206501
"서울특별시 용산구 도원동 23 삼성래미안",126.955316835387,37.5382964045291
"서울특별시 용산구 한강로3가 91 우림필유",126.959821458745,37.5254346092093
"서울특별시 용산구 용문동 90 브라운스톤",126.959200142792,37.5362662344184
"서울특별시 용산구 동자동 45 센트레빌아스테리움서울",126.973210049015,37.5516713863735
"서울특별시 용산구 한남동 258 리버티하우스",127.008679105878,37.533578250287
